Family,SeaStateIdx,Hs,Tp,Probability,BestPressure_MPa,MechRGP,ElecRGP,AveMechPow_kW,AveElecPow_kW,MaxThetaDeg,MinThetaDeg,MetPositionTarget,PointsFound,PointsIntended
DHD4,4,2.2579006772009,10.9695259593679,0.132939881964589,20,0.953542300306069,0.763550163485409,165.393778973222,132.439270847174,25.576842223658,-14.8023289878848,1,8,9
DHD4,5,2.56283602150538,9.10954301075269,0.148844653396019,23,0.910011200352204,0.726172837049042,225.906161456525,180.269119883637,37.4715026130762,-11.7773730133523,1,2,6
DHD4,6,2.86731391585761,13.1893203883495,0.0618185455636691,23,0.975007651352289,0.779822931429886,231.080790314364,184.821215556771,35.8300672625205,-21.4933896167572,1,5,6
DHD4,7,3.65665236051502,10.8004291845494,0.0932279683905172,35,0.959817733129437,0.765764125536688,441.667686671978,352.372391328353,46.8703086466899,-29.3379432503356,1,3,6
DHD4,8,4.99525316455696,12.7246835443038,0.0316094828448535,35,0.955517571929404,0.761438787844788,712.664403011409,567.912443591596,54.2917802445313,-38.8729657071842,1,2,6
EHA_fixed_elec,1,1.11845593108019,6.84990059642147,0.150945283585076,NaN,0.753150177113086,0.506396891739499,34.9664805030534,23.510473183036,NaN,NaN,NaN,1,1
EHA_fixed_elec,2,1.43904274533414,8.98585189644792,0.166149844953486,NaN,0.758721826602908,0.514570449714429,59.6629810155208,40.4638510400042,NaN,NaN,NaN,1,1
EHA_fixed_elec,3,2.02192164179104,6.96268656716418,0.214464339301791,NaN,0.752142149360853,0.504563367180185,115.1164571471,77.2241620621208,NaN,NaN,NaN,1,1
EHA_fixed_elec,4,2.2579006772009,10.9695259593679,0.132939881964589,NaN,0.788878404830743,0.544756308969957,136.832503899872,94.4890483947328,NaN,NaN,NaN,1,1
EHA_fixed_elec,5,2.56283602150538,9.10954301075269,0.148844653396019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1
EHA_fixed_elec,6,2.86731391585761,13.1893203883495,0.0618185455636691,NaN,0.82462263256755,0.579050406332285,195.438927459217,137.237308180642,NaN,NaN,NaN,1,1
EHA_fixed_elec,7,3.65665236051502,10.8004291845494,0.0932279683905172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1
EHA_fixed_elec,8,4.99525316455696,12.7246835443038,0.0316094828448535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1
